cd_product,product,desc_product,price,last_update_timestamp
P001,Lacoste Polo Uomo,"Polo classica in cotone pique, logo coccodrillo",100.49,2025 06 18T12:00:00Z
P002,Lacoste Slim Fit Polo PH4012,"Polo slim fit in cotone pique, logo verde",63.65,2025 06 18T12:00:00Z
P003,Lacoste Polo L1212 Regular,"Polo regular fit in cotone, vari colori",75.6,2025 06 18T12:00:00Z
P004,Tommy Hilfiger Tshirt Uomo,"Tshirt in cotone, logo sul petto",27.94,2025 06 18T12:00:00Z
P005,Levi's Tshirt Uomo Original,Tshirt girocollo in cotone,14.99,2025 06 18T12:00:00Z
P006,Levi's Tshirt Perfect Donna,"Tshirt donna in cotone, taglio regolare",23.99,2025 06 18T12:00:00Z
P007,Terranova Vestito Donna,"Vestito estivo legato al collo, taglie SXL",29.99,2025 06 18T12:00:00Z
P008,bonprix Abito Jersey,Abito fluente in misto viscosaelastan,25.99,2025 06 18T12:00:00Z
P009,Classic Denim Jeans Uomo,Jeans regular fit in cotone elasticizzato,49.9,2025 06 18T12:00:00Z
P010,Basic Hoodie Donna,"Felpa con cappuccio in cotone, tascone frontale",45.0,2025 06 18T12:00:00Z
